,cam,frame,id,x,y
682,2,216,0,1337,721
683,2,216,1,1529,723
684,1,217,0,1287,779
685,1,217,1,1111,787
686,2,217,0,1339,715
687,2,217,1,1529,721
688,1,218,0,1289,779
689,1,218,1,1111,787
690,2,218,0,1337,713
691,2,218,1,1527,717
692,1,219,0,1287,781
693,1,219,1,1111,787
694,2,219,0,1335,711
695,2,219,1,1525,715
696,1,220,0,1289,779
697,1,220,1,1109,787
698,2,220,0,1337,709
699,2,220,1,1527,713
700,1,221,0,1289,779
701,1,221,1,1111,787
702,2,221,0,1337,707
703,2,221,1,1527,709
704,1,222,0,1291,779
705,1,222,1,1111,787
706,2,222,0,1335,701
707,2,222,1,1527,707
708,1,223,0,1289,775
709,1,223,1,1111,785
710,2,223,0,1339,699
711,2,223,1,1527,705
712,1,224,0,1289,781
713,1,224,1,1111,785
714,2,224,0,1339,699
715,2,224,1,1527,703
716,1,225,0,1289,775
717,1,225,1,1111,785
718,2,225,0,1337,695
719,2,225,1,1527,701
720,1,226,0,1291,773
721,1,226,1,1111,783
722,2,226,0,1337,691
723,2,226,1,1527,699
724,1,227,0,1289,771
725,1,227,1,1109,779
726,2,227,0,1335,691
727,2,227,1,1529,697
728,1,228,0,1291,771
729,1,228,1,1109,779
730,2,228,0,1335,689
731,2,228,1,1527,697
732,1,229,0,1291,769
733,1,229,1,1109,777
734,2,229,0,1337,689
735,2,229,1,1529,695
736,1,230,0,1287,767
737,1,230,1,1109,775
738,2,230,0,1337,691
739,2,230,1,1529,697
740,1,231,0,1287,763
741,1,231,1,1109,771
742,2,231,0,1339,691
743,2,231,1,1529,697
744,1,232,0,1287,759
745,1,232,1,1109,769
746,2,232,0,1337,695
747,2,232,1,1529,697
748,1,233,0,1287,757
749,1,233,1,1109,767
750,2,233,0,1335,697
751,2,233,1,1527,699
752,1,234,0,1289,759
753,1,234,1,1109,763
754,2,234,0,1333,697
755,2,234,1,1527,699
756,1,235,0,1287,751
757,1,235,1,1111,761
758,2,235,0,1333,695
759,2,235,1,1527,701
760,1,236,0,1291,747
761,1,236,1,1113,759
762,2,236,0,1333,699
763,2,236,1,1525,703
764,1,238,0,1291,743
765,1,238,1,1113,751
766,2,238,0,1325,705
767,2,238,1,1523,711
768,1,239,0,1295,741
769,1,239,1,1115,749
770,2,239,0,1327,709
771,2,239,1,1523,715
772,1,240,0,1295,737
773,1,240,1,1117,743
774,2,240,0,1325,713
775,2,240,1,1523,719
776,1,241,0,1293,733
777,1,241,1,1119,741
778,2,241,0,1329,719
779,2,241,1,1523,723
780,1,242,0,1295,731
781,1,242,1,1117,737
782,2,242,0,1323,723
783,2,242,1,1523,727
784,1,243,0,1295,725
785,1,243,1,1119,733
786,2,243,0,1325,727
787,2,243,1,1523,731
788,1,244,0,1293,719
789,1,244,1,1119,729
790,2,244,0,1323,731
791,2,244,1,1523,737
792,1,245,0,1295,717
793,1,245,1,1119,725
794,2,245,0,1329,735
795,2,245,1,1525,743
796,1,246,0,1293,715
797,1,246,1,1117,723
798,2,246,0,1327,741
799,2,246,1,1525,747
800,1,247,0,1293,711
801,1,247,1,1119,719
802,2,247,0,1327,749
803,2,247,1,1525,751
804,1,248,0,1291,705
805,1,248,1,1117,717
806,2,248,0,1331,755
807,2,248,1,1525,759
808,1,250,0,1291,701
809,1,250,1,1119,709
810,2,250,0,1329,763
811,2,250,1,1527,767
812,1,251,0,1293,695
813,1,251,1,1117,707
814,2,251,0,1327,775
815,2,251,1,1529,775
816,1,252,0,1291,695
817,1,252,1,1119,703
818,2,252,0,1329,779
819,2,252,1,1529,781
820,1,253,0,1289,693
821,1,253,1,1119,701
822,2,253,0,1333,783
823,2,253,1,1529,783
824,1,254,0,1289,689
825,1,254,1,1117,699
826,2,254,0,1331,793
827,2,254,1,1531,791
828,1,255,0,1289,687
829,1,255,1,1117,697
830,2,255,0,1331,799
831,2,255,1,1531,799
832,1,256,0,1287,687
833,1,256,1,1117,695
834,2,256,0,1333,809
835,2,256,1,1533,805
836,1,257,0,1287,685
837,1,257,1,1117,693
838,2,257,0,1333,815
839,2,257,1,1535,813
840,1,258,0,1285,681
841,1,258,1,1117,691
842,2,258,0,1337,821
843,2,258,1,1535,821
844,1,259,0,1285,681
845,1,259,1,1115,691
846,2,259,0,1337,829
847,2,259,1,1537,827
848,1,260,0,1281,681
849,1,260,1,1115,691
850,2,260,0,1339,835
851,2,260,1,1539,833
852,1,261,0,1279,681
853,1,261,1,1113,691
854,2,261,0,1339,841
855,2,261,1,1543,841
856,1,262,0,1279,681
857,1,262,1,1111,691
858,2,262,0,1343,851
859,2,262,1,1543,847
860,1,263,0,1277,683
861,1,263,1,1113,691
862,2,263,0,1345,859
863,2,263,1,1545,853
864,1,264,0,1277,683
865,1,264,1,1111,693
866,2,264,0,1345,867
867,2,264,1,1545,859
868,1,265,0,1275,685
869,1,265,1,1109,689
870,2,265,0,1343,871
871,2,265,1,1543,865
872,1,266,0,1273,683
873,1,266,1,1109,689
874,2,266,0,1347,875
875,2,266,1,1545,869
876,1,267,0,1271,683
877,1,267,1,1109,689
878,2,267,0,1343,883
879,2,267,1,1545,875
880,1,268,0,1273,683
881,1,268,1,1109,689
882,2,268,0,1345,887
883,2,268,1,1545,883
